would_take_again,quality,difficulty,last_name,first_name
96%,4.8,2.6,Loveless,Andrew
88%,3.8,3.9,Freeman,Scott
30%,2.5,4.3,Koblitz,Neal
56%,4.1,3.1,Voorhies,Ann
91%,3.6,3.2,Sparke,Matthew
24%,3.0,3.7,Bekyel,Ebru
88%,4.4,2.1,Swanson,Terry
27%,2.8,4.0,Conroy,Matthew
71%,3.9,3.4,Reges,Stuart
84%,4.0,3.2,Craig,Colleen
76%,4.2,3.1,Taggart,Jennifer
79%,4.3,2.6,Passer,Michael
47%,3.2,3.1,Salehi-Esfahani,Haideh
N/A,3.8,2.7,McDermott,Lois
68%,3.4,3.8,Carroll,Andrea
80%,3.0,3.9,Brown,Jonathon D
35%,3.3,3.0,Ellis,Greg
23%,2.8,4.2,Pedigo,Daryl
98%,4.6,2.7,Nichifor,Alexandra
30%,2.5,3.9,Wiegand,Deborah
96%,4.8,2.6,Loveless,Andrew
88%,3.8,3.9,Freeman,Scott
30%,2.5,4.3,Koblitz,Neal
56%,4.1,3.1,Voorhies,Ann
91%,3.6,3.2,Sparke,Matthew
24%,3.0,3.7,Bekyel,Ebru
88%,4.4,2.1,Swanson,Terry
96%,4.8,2.6,Loveless,Andrew
88%,3.8,3.9,Freeman,Scott
30%,2.5,4.3,Koblitz,Neal
56%,4.1,3.1,Voorhies,Ann
91%,3.6,3.2,Sparke,Matthew
24%,3.0,3.7,Bekyel,Ebru
88%,4.4,2.1,Swanson,Terry
27%,2.8,4.0,Conroy,Matthew
71%,3.9,3.4,Reges,Stuart
84%,4.0,3.2,Craig,Colleen
76%,4.2,3.1,Taggart,Jennifer
79%,4.3,2.6,Passer,Michael
47%,3.2,3.1,Salehi-Esfahani,Haideh
N/A,3.8,2.7,McDermott,Lois
68%,3.4,3.8,Carroll,Andrea
80%,3.0,3.9,Brown,Jonathon D
35%,3.3,3.0,Ellis,Greg
23%,2.8,4.2,Pedigo,Daryl
98%,4.6,2.7,Nichifor,Alexandra
30%,2.5,3.9,Wiegand,Deborah
91%,4.5,2.1,Pickrell,Jacqueline
90%,4.8,2.6,Ostroff,Jonah
78%,4.7,2.6,Graham,Lauren
4%,2.2,3.8,Schwartz,Pepper
52%,3.9,3.4,So,Connie
N/A,2.2,3.4,Silberberg,Eugene
58%,3.2,3.7,Petersen,Karen
N/A,4.3,3.3,Bilgen,Tolga
82%,4.6,2.1,Smith,Toby
97%,4.6,2.8,Bryant,Jasmine
N/A,2.1,3.2,Weiss,Joe
92%,4.2,2.4,McGarrity,Laura
25%,3.4,3.0,Pitchford,Susan
40%,2.0,3.6,Reid,James
72%,4.2,2.6,Gill,Anthony
73%,3.9,4.1,McCormack,Timothy
25%,2.8,3.3,O'Dea,Dennis
40%,2.7,4.0,Chiu,Daniel
N/A,4.5,3.3,Stepp,Marty
58%,4.1,3.3,Daruwala,Khushroo
78%,4.1,3.1,Coutu,Lisa
79%,3.8,2.2,Harrison,Rob
N/A,2.8,3.5,Zoller,William
75%,4.0,3.1,Perkins,Patrick
48%,3.3,3.2,Huwe,Ruth
46%,3.2,4.4,Ginger,David
91%,4.8,2.9,Laws,Chris
53%,2.5,4.0,Doherty,Jennifer
29%,3.2,4.4,Andersen,Niels
58%,4.0,3.5,Schivell,Mandy
94%,4.8,3.6,Wiggins,Ben
39%,3.0,3.3,Iarocci,Louisa
N/A,4.4,2.4,Domke,David
83%,3.9,3.0,Wellman,James
N/A,2.8,4.1,Norman,Joseph
N/A,2.0,3.6,Callis,James
85%,4.7,2.1,McLaughlin,Judith
N/A,4.2,2.5,King,Kevin
50%,3.7,3.9,Sefcik,Steve
N/A,4.0,3.7,Efimov,Vitaly
90%,4.6,3.4,Mercer,Jonathan
96%,4.5,4.1,Bergstrom,Tod
42%,3.4,3.2,Zhang,James
57%,3.3,3.3,Maloy,Frances
N/A,4.5,2.8,Wender,Jonathan
66%,4.1,2.5,Merlino,Kathryn
N/A,2.0,4.2,Robinson,Bruce
100%,4.1,3.6,Demerjian,Peter
65%,4.5,1.7,Hanford,John
25%,3.0,3.8,Searle,Leroy
91%,3.8,4.5,Wenderoth,Mary Pat
100%,4.6,3.2,Diaz,Jaime
87%,4.2,2.3,McNichols,Nicole
46%,3.5,3.2,Ou,Shaosong
80%,3.8,3.2,Li,Xiaosong
N/A,4.7,2.6,Bube,Kenneth
43%,3.3,2.3,Larson,Ana
65%,4.0,2.6,Harris,Alexes
62%,3.5,3.0,Pezzoli,Elena
67%,4.0,2.9,Parks,Malcolm
70%,4.0,3.2,Martin-Morris,Linda
15%,2.3,4.2,Smith,Paul Sholto
N/A,4.3,3.6,Reid,Philip
17%,2.2,3.4,Harnett,Erika
45%,3.5,3.9,Draper,Moon
31%,2.5,2.9,Yuan,Yu
54%,3.9,3.3,Michael,Forrest
7%,2.3,3.3,Cardoso,Tamre
N/A,4.3,2.8,Thurlow,Crispin
52%,3.3,2.7,Nuwer,Mikelle
96%,4.1,1.9,Kirk,Elizabeth
N/A,3.6,3.3,Olavarria,Jaime
70%,3.3,3.6,Staten,Henry
N/A,2.2,3.5,Weis,Joseph
22%,2.7,2.9,Huppert,Ann
63%,4.0,3.3,Crutchfield,Robert
N/A,4.5,2.2,Aanerud,Rebecca
37%,2.4,3.8,Brand,Whitaker
86%,4.3,2.3,Osterhout,Lee
N/A,2.7,3.3,Campbell,Charles
66%,3.7,3.5,Goldman,Lawrence
N/A,4.5,2.9,Stuby,Thomas
92%,4.5,3.0,Herbert,Steve
94%,3.8,4.2,Turner,Jack
100%,4.5,3.3,Tolich,Nikolai
29%,2.7,3.2,Sasaki,Tomi
N/A,1.8,3.4,Raucher,Stanley
